id,organisation_id,version,pays,periodicite,revenu_brut,trimf,ir_1,ir_1_5,ir_2,ir_2_5,ir_3,ir_3_5,ir_4,ir_4_5,ir_5
78aa1035-7378-4a64-bc97-648528280d0b,,SN-2013,SN,annuel,905000,3600,600,0,0,0,0,0,0,0,0
25cf6d57-4675-4661-895d-932ba56b2073,,SN-2013,SN,annuel,910000,3600,1400,0,0,0,0,0,0,0,0
ea867d6f-994f-4969-8816-ea971af94b54,,SN-2013,SN,annuel,915000,3600,2000,0,0,0,0,0,0,0,0
c9926c4e-86b9-4cb6-8e11-b7f12285a12b,,SN-2013,SN,annuel,920000,3600,2800,0,0,0,0,0,0,0,0
6ebc2a4b-0a17-4a6d-a572-0a55c668aed7,,SN-2013,SN,annuel,925000,3600,3400,0,0,0,0,0,0,0,0
2e4bd0cd-0c47-4314-9a0d-9fcc768a1632,,SN-2013,SN,annuel,930000,3600,4200,0,0,0,0,0,0,0,0
9558fff8-94eb-4e36-b4ac-dab8f485eb31,,SN-2013,SN,annuel,935000,3600,4800,0,0,0,0,0,0,0,0
fe756e40-9053-430c-8415-288362f8f22c,,SN-2013,SN,annuel,940000,3600,5600,0,0,0,0,0,0,0,0
42acb82d-8115-43a7-8347-6d75b2dd4c00,,SN-2013,SN,annuel,945000,3600,6200,0,0,0,0,0,0,0,0
cd41f622-1c82-4b4d-ae38-2cc0925a02aa,,SN-2013,SN,annuel,950000,3600,7000,0,0,0,0,0,0,0,0
46b67316-afa1-4591-8781-b8b25c7f7c10,,SN-2013,SN,annuel,955000,3600,7600,0,0,0,0,0,0,0,0
48a0b0cb-cd9e-4056-a184-1cd320a4335e,,SN-2013,SN,annuel,960000,3600,8400,0,0,0,0,0,0,0,0
1e32b648-7890-4c48-8409-c055c980dbeb,,SN-2013,SN,annuel,965000,3600,9000,0,0,0,0,0,0,0,0
e5cb9a22-cec9-47d7-9b9e-589fabed6665,,SN-2013,SN,annuel,970000,3600,9800,0,0,0,0,0,0,0,0
047201f3-ef2f-40e7-8e6e-2d6e386d6f02,,SN-2013,SN,annuel,975000,3600,10400,0,0,0,0,0,0,0,0
0c29fcf8-5949-41cc-b271-8cadd5342705,,SN-2013,SN,annuel,980000,3600,11200,0,0,0,0,0,0,0,0
3d67371d-1311-4b33-9798-86105d603c9c,,SN-2013,SN,annuel,985000,3600,11800,0,0,0,0,0,0,0,0
0fa7457d-065b-4c18-96e9-78da939caeda,,SN-2013,SN,annuel,990000,3600,12600,0,0,0,0,0,0,0,0
40cd60a4-f076-404d-8d02-20f8dbf78294,,SN-2013,SN,annuel,995000,3600,13200,0,0,0,0,0,0,0,0
683eabe8-90db-4403-920d-6e7e1abc59bf,,SN-2013,SN,annuel,1000000,4800,14000,0,0,0,0,0,0,0,0
e25286a2-8935-4acc-86b8-4af0f811d7d9,,SN-2013,SN,annuel,1005000,4800,14600,0,0,0,0,0,0,0,0
0570c303-fdec-481a-a7b5-93581f36ab3a,,SN-2013,SN,annuel,1010000,4800,15400,0,0,0,0,0,0,0,0
4c35c7df-b122-4a3b-b9da-517a90da04e6,,SN-2013,SN,annuel,1015000,4800,16000,0,0,0,0,0,0,0,0
f9a318a8-793e-4522-a6ad-d1ff2d198745,,SN-2013,SN,annuel,1020000,4800,16800,0,0,0,0,0,0,0,0
8c6f8234-145d-4fae-9c88-9d560db00f87,,SN-2013,SN,annuel,1025000,4800,17400,0,0,0,0,0,0,0,0
d62260b8-1fbd-4f6c-a278-c298bb461d15,,SN-2013,SN,annuel,1030000,4800,18200,0,0,0,0,0,0,0,0
b022432a-1b96-4e75-9c9d-6a16ed142159,,SN-2013,SN,annuel,1035000,4800,18800,0,0,0,0,0,0,0,0
bc6c7630-4727-45bd-9b20-578279fc35c0,,SN-2013,SN,annuel,1040000,4800,19600,0,0,0,0,0,0,0,0
ac0cf961-6c7d-4c00-8e90-e9a3ccb9c8b3,,SN-2013,SN,annuel,1045000,4800,20200,0,0,0,0,0,0,0,0
3006d26d-1556-4be5-8a8d-f956441eb09d,,SN-2013,SN,annuel,1050000,4800,21000,0,0,0,0,0,0,0,0
135bd5aa-c05f-4234-8fdd-37f2778e4e73,,SN-2013,SN,annuel,1055000,4800,21600,0,0,0,0,0,0,0,0
fe421741-cb00-4925-bc8e-545bfbf34bd4,,SN-2013,SN,annuel,1060000,4800,22400,0,0,0,0,0,0,0,0
